cruise_name,code,ship,link_to_cruise,departure_date,duration,price,PolarInside,PolarOutside,ArcticSuperior,ExpeditionSuite
Discover the Heart of Greenland,CENFRGRE1802,MS Fram,https://www.hurtigruten.com/destinations/greenland/discover-the-heart-of-greenland/,2018-06-30,12 Days,5409 €,5409 €,6231 €,6718 €,12071 €
Hidden Harbours Along North America’s Coast,CENFRNAM1801A,MS Fram,https://www.hurtigruten.com/destinations/north-america/hidden-harbours-along-north-americas-coast/,2018-04-15,16 Days,3488 €,3488 €,4011 €,4638 €,5824 €
The Ultimate Fjord Expedition in the Arctic,CENFRGRE1702,MS Fram,https://www.hurtigruten.com/destinations/greenland/the-ultimate-fjord-expedition-in-the-arctic/,2017-09-06,15 Days,7217 €,7217 €,8662 €,9745 €,12282 €
"The Untouched Beauty of Greenland, Newfoundland and Labrador",CENFRNAM1803,MS Fram,https://www.hurtigruten.com/destinations/north-america/the-untouched-beauty-of-greenland-newfoundland-and-labrador/,2018-09-22,17 Days,7229 €,7229 €,8595 €,9402 €,11641 €
The Treasures of Portugal,CENMSEUR1803,MS Midnatsol,https://www.hurtigruten.com/destinations/europe/the-treasures-of-portugal/,2018-09-17,11 Days,2625 €,2625 €,2703 €,3084 €,3873 €
Gems of the Atlantic Coast,CENFREUR1702,MS Fram,https://www.hurtigruten.com/destinations/europe/gems-of-the-atlantic-coast/,2017-09-21,9 Days,2263 €,2263 €,2717 €,3057 €,3853 €
From the Wilderness of Newfoundland and Labrador to the Magic of Iceland,CENFRNAM1802,MS Fram,https://www.hurtigruten.com/destinations/north-america/from-the-wilderness-of-newfoundland-and-labrador-to-the-magic-of-iceland/,2018-05-10,14 Days,3627 €,3627 €,4379 €,4824 €,6057 €
Midnight Sun Exploration to Thule,CENFRGRE1806,MS Fram,https://www.hurtigruten.com/destinations/greenland/midnight-sun-exploration-to-thule/,2018-08-14,17 Days,9952 €,9952 €,11229 €,12761 €,15654 €
Midnight Sun Exploration to Thule,CENFRGRE1805,MS Fram,https://www.hurtigruten.com/destinations/greenland/midnight-sun-exploration-to-thule/,2018-07-30,17 Days,9952 €,9952 €,11717 €,12761 €,15654 €
Expedition to Three Arctic Islands,CENFRGRE1701,MS Fram,https://www.hurtigruten.com/destinations/greenland/expedition-to-three-arctic-islands/,2017-08-24,14 Days,9129 €,9129 €,10823 €,12090 €,15060 €
Viking Journey through the North Atlantic,CENSPGRE1801,MS Spitsbergen,https://www.hurtigruten.com/destinations/greenland/viking-journey-through-the-north-atlantic/,2018-08-05,14 Days,8682 €,8682 €,9444 €,11042 €,14467 €
Coastal Gems of America - Southbound,CENFRNAM1804,MS Fram,https://www.hurtigruten.com/destinations/north-america/coastal-gems-of-america-southbound/,2018-10-08,13 Days,3516 €,3516 €,4245 €,4676 €,5871 €
"Thule, North and Beyond",CENSPGRE1702,MS Spitsbergen,https://www.hurtigruten.com/destinations/greenland/thule-north-and-beyond/,2017-08-06,16 Days,13777 €,,,13777 €,18410 €
The Treasures of Portugal,CENMSEUR1800A,MS Midnatsol,https://www.hurtigruten.com/destinations/europe/the-treasures-of-portugal/,2018-03-31,11 Days,2625 €,2625 €,2703 €,3084 €,3873 €
